Campaign,Ad Group,Ad type,Final URL,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4
Search-sports,Sports - Service & Price,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Sports Card Grading Service,Grade Sports Cards From $0.50,Grade Raw Sports Cards Fast,"Slab, Label & Sell At Home",A Full Grading Platform,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-sports,Sports - Online & From Photo,Responsive search ad,https://www.dcmgrading.com/sports-grading,Enabled,Grade Sports Cards From Photo,Online Sports Card Grading,Instant Sports Card Grading,Grade Sports Cards In A Minute,Digital Sports Card Grading,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - Centering & Subgrades,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,Card Centering Checker,Trading Card Subgrades,Measure Centering From A Photo,See Every Deduction Explained,"Corners, Edges & Surface",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - TCG Grading,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,TCG Card Grading Online,Grade TCG Cards From A Photo,"Yu-Gi-Oh, MTG, Lorcana & More",One Piece & Star Wars Too,Subgrades For Any TCG,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - Collectible & Non-Sport,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,Collectible Card Grading,Grade Non-Sport Cards Online,"Any Trading Card, Graded",Subgrades And Market Pricing,Grade Cards From A Photo,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - Grading App,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,Card Grading App,Scan & Grade Trading Cards,Grade From Your Phone,DCM Optic Grades Every Card,iPhone & Android App,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - Estimate & Checker,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,Card Grade Checker,Estimate Your Card Grade,Grade It Yourself In A Minute,See The Grade And The Reason,"Full Grading, Not A Guess",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - AI Card Grader,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,AI Card Grader: DCM Optic,"Consistent Grading, Every Card",No Tier. No Bad Days.,Published Subgrades & Doubt,Machine Consistent Grading,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-general audience,General - Online & From Photo,Responsive search ad,https://www.dcmgrading.com/grade-your-first-card,Enabled,Grade Trading Cards Online,Grade Cards From A Photo,Instant Card Grading At Home,Grade Cards In About A Minute,Trading Card Grading,Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,Graded In About A Minute,Subgrades & Centering Report,Real Sold-Listing Pricing,Print Your Own Slab Labels,List Graded Cards To eBay,Image Confidence A To D,From $0.50 Per Card Grade,,1,1,,,,,,,,,,,,,,"Photograph the card, get a grade in about a minute. The card never leaves your hands.",Four subgrades and a written reason for every deduction. Two free grades to start.,"Real sold-listing pricing, printable slab labels and one-click eBay listings included.","Graded by DCM Optic: same rubric for every card, no tier, no bad days. Plans from $0.50."
Search-enterprise,Enterprise - Wholesale & In-Store,Responsive search ad,https://www.dcmgrading.com/enterprise,Enabled,Wholesale Card Grading,In-Store Card Grading,Grade Cards Under Your Brand,Card Grading For Card Shops,Your Own Grading Storefront,Your Logo On Every Slab,Wholesale Grading $0.40/Card,Plans From $199 A Month,Results In About A Minute,Branded Reports & Registry,No Mail-In. No Waiting.,Design Your Slab Label Once,"Apply Now, Set Up In A Day",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,1,1,,,,,,,,,,,,,,"Your logo on the slab, the report and the card page. Plans from $199/mo for 400 grades.","Wholesale grading from $0.40 a card. Grade at the counter, the show table or on stream.",Every slab carries a serial and a branded verification page your buyers can scan.,"Built for card shops, show dealers, breakers and streamers. Apply in minutes."
Search-enterprise,Enterprise - Dealers & Card Shows,Responsive search ad,https://www.dcmgrading.com/enterprise,Enabled,Grade Cards At Card Shows,Card Grading For Dealers,Grade At The Show Table,Slab And Sell The Same Day,Grading For Card Resellers,Your Logo On Every Slab,Wholesale Grading $0.40/Card,Plans From $199 A Month,Results In About A Minute,Branded Reports & Registry,No Mail-In. No Waiting.,Design Your Slab Label Once,"Apply Now, Set Up In A Day",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,1,1,,,,,,,,,,,,,,"Your logo on the slab, the report and the card page. Plans from $199/mo for 400 grades.","Wholesale grading from $0.40 a card. Grade at the counter, the show table or on stream.",Every slab carries a serial and a branded verification page your buyers can scan.,"Built for card shops, show dealers, breakers and streamers. Apply in minutes."
Search-enterprise,Enterprise - Breakers & Streamers,Responsive search ad,https://www.dcmgrading.com/enterprise,Enabled,Card Grading For Breakers,Slab Your Breaks On Stream,Grading For Whatnot Sellers,"Grade Live, Sell Live",Your Brand On Every Break,Your Logo On Every Slab,Wholesale Grading $0.40/Card,Plans From $199 A Month,Results In About A Minute,Branded Reports & Registry,No Mail-In. No Waiting.,Design Your Slab Label Once,"Apply Now, Set Up In A Day",Get 2 Free Card Grades Today,No Shipping. Cards Stay Home.,1,1,,,,,,,,,,,,,,"Your logo on the slab, the report and the card page. Plans from $199/mo for 400 grades.","Wholesale grading from $0.40 a card. Grade at the counter, the show table or on stream.",Every slab carries a serial and a branded verification page your buyers can scan.,"Built for card shops, show dealers, breakers and streamers. Apply in minutes."
